,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
0,2023-06-30,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,1.0,2.0,FC Juárez,0.9,0.7,61.0,13391.0,Miguel Layún,4-2-3-1,Ismael Lopez,Match Report,,14,3,21.8,2.0,0,0,2024,America
1,2023-07-15,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,0.0,Puebla,3.6,0.9,60.0,32294.0,Miguel Layún,4-2-3-1,Víctor Cáceres,Match Report,,21,8,13.9,1.0,0,0,2024,America
2,2023-08-20,22:10,Liga MX,Apertura 2023 Regular Season,Sun,Home,D,1.0,1.0,Atlas,1.8,0.9,64.0,17046.0,Diego Valdés,4-2-3-1,Adonai Escobedo,Match Report,,13,4,12.0,1.0,0,0,2024,America
3,2023-08-23,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,3.0,2.0,Necaxa,2.4,0.6,70.0,19085.0,Álvaro Fidalgo,4-2-3-1,Marco Ortíz,Match Report,,20,10,14.5,0.0,0,0,2024,America
4,2023-08-26,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,1.0,1.0,León,1.6,0.7,54.0,30701.0,Jonathan dos Santos,4-2-3-1,Óscar Macias,Match Report,,9,2,18.8,0.0,1,1,2024,America
5,2023-09-02,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,3.0,2.0,Cruz Azul,0.6,1.2,48.0,36500.0,Jonathan dos Santos,4-2-3-1,Daniel Quintero,Match Report,,7,3,20.4,0.0,0,0,2024,America
6,2023-09-16,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,4.0,0.0,Guadalajara,1.3,0.4,53.0,62514.0,Jonathan dos Santos,4-2-3-1,Fernando Guerrero,Match Report,,14,6,16.1,0.0,0,0,2024,America
7,2023-09-20,21:06,Liga MX,Apertura 2023 Regular Season,Wed,Away,W,2.0,1.0,Querétaro,1.0,0.8,67.0,31296.0,Diego Valdés,4-2-3-1,Diego Montaño,Match Report,,16,6,22.1,3.0,0,0,2024,America
8,2023-09-24,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,1.0,1.0,Toluca,2.0,1.5,51.0,27273.0,Jonathan dos Santos,4-2-3-1,Adonai Escobedo,Match Report,,15,4,16.7,0.0,0,0,2024,America
9,2023-09-30,19:40,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,1.0,0.0,UNAM,1.9,0.6,49.0,62707.0,Henry Martín,4-4-2,Víctor Cáceres,Match Report,,12,5,17.8,1.0,0,1,2024,America
10,2023-10-03,22:00,Liga MX,Apertura 2023 Regular Season,Tue,Home,W,4.0,0.0,Pachuca,2.9,0.7,62.0,30479.0,Henry Martín,4-2-3-1,Marco Antonio Ortíz,Match Report,,15,11,14.5,1.0,0,0,2024,America
11,2023-10-06,21:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,2.0,1.0,Mazatlán,2.3,0.5,60.0,18000.0,Diego Valdés,4-2-3-1,Oscar Mejia,Match Report,,17,8,15.4,0.0,0,0,2024,America
12,2023-10-21,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,4.0,3.0,Santos,3.1,0.9,60.0,39968.0,Henry Martín,4-2-3-1,César Arturo Ramos,Match Report,,20,12,18.1,2.0,1,1,2024,America
13,2023-10-28,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,3.0,0.0,Monterrey,1.0,0.7,61.0,47177.0,Henry Martín,4-2-3-1,Adonai Escobedo,Match Report,,11,3,19.3,0.0,0,0,2024,America
14,2023-11-01,21:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,W,1.0,0.0,Atlético,1.1,0.8,47.0,22584.0,Henry Martín,4-3-3,Edgar Morales,Match Report,,8,2,13.5,0.0,0,0,2024,America
15,2023-11-04,19:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,0.0,Tijuana,3.4,0.2,47.0,46046.0,Henry Martín,4-4-2,Oscar Mejia,Match Report,,19,8,14.3,0.0,0,0,2024,America
16,2023-11-11,21:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,0.0,0.0,UANL,1.0,0.7,46.0,36783.0,Henry Martín,4-2-3-1,Diego Montaño,Match Report,,7,3,14.3,0.0,0,0,2024,America
17,2023-11-29,19:06,Liga MX,Apertura — Quarter-finals,Wed,Away,D,2.0,2.0,León,2.2,1.3,59.0,25823.0,Henry Martín,4-2-3-1,Marco Antonio Ortíz,Match Report,Leg 1 of 2,15,6,17.3,0.0,0,0,2024,America
18,2023-12-02,19:00,Liga MX,Apertura — Quarter-finals,Sat,Home,W,2.0,0.0,León,2.3,0.3,51.0,65000.0,Henry Martín,4-2-3-1,Fernando Guerrero,Match Report,Leg 2 of 2; América won,15,3,24.7,0.0,1,1,2024,America
19,2023-12-06,21:00,Liga MX,Apertura — Semi-finals,Wed,Away,W,5.0,0.0,Atlético,2.7,1.0,50.0,22589.0,Henry Martín,4-4-2,Adonai Escobedo,Match Report,Leg 1 of 2,15,9,15.2,0.0,0,0,2024,America
20,2023-12-09,20:00,Liga MX,Apertura — Semi-finals,Sat,Home,L,0.0,2.0,Atlético,0.2,2.0,46.0,57964.0,Henry Martín,4-4-2,César Arturo Ramos,Match Report,Leg 2 of 2; América won,4,1,18.7,0.0,0,0,2024,America
21,2023-12-14,21:00,Liga MX,Apertura — Finals,Thu,Away,D,1.0,1.0,UANL,1.7,0.6,46.0,41615.0,Henry Martín,4-4-2,Marco Antonio Ortíz,Match Report,Leg 1 of 2,11,1,25.3,1.0,1,1,2024,America
22,2023-12-17,19:30,Liga MX,Apertura — Finals,Sun,Home,W,3.0,0.0,UANL,2.1,0.7,60.0,74957.0,Henry Martín,4-2-3-1,Adonai Escobedo,Match Report,Leg 2 of 2; América won; Required Extra Time,18,7,17.8,1.0,0,0,2024,America
23,2024-01-13,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,W,2.0,0.0,Tijuana,0.4,2.2,37.0,31133.0,Israel Reyes,5-3-2,Edgar Morales,Match Report,,6,4,16.9,0.0,0,0,2024,America
24,2024-01-20,19:05,Liga MX,Clausura 2024 Regular Season,Sat,Home,W,2.0,0.0,Querétaro,2.3,0.2,72.0,,Henry Martín,4-2-3-1,Maximiliano Quintero,Match Report,,15,6,19.3,1.0,0,0,2024,America
25,2024-01-24,20:06,Liga MX,Clausura 2024 Regular Season,Wed,Away,W,2.0,0.0,FC Juárez,2.2,1.3,64.0,,Álvaro Fidalgo,4-2-3-1,Luis Enrique Santander,Match Report,,15,6,15.4,0.0,0,0,2024,America
